LINE_ID,NAME,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,NUM_LINES,LENGTH_KM,VOLTAGE_KV
l_95,King Creek to Blue Valley,325,331,0.01737658017887683,0.03625100710933743,0.009838634548531667,1,18.021996014092256,132
l_96,King Creek to King Creek Tee,326,325,8.076340008697002e-05,0.00016848853805457217,4.572830615534324e-05,1,0.08376318351877177,132
l_97,Strathmore to Ross,69,327,0.02016907425534914,0.04638937212055818,0.19512583489965227,1,90.79084765242729,275
l_98,Ross to Kidston,372,354,0.4073729968607592,0.829202126494982,0.11400538695016962,1,293.4055513104277,110
l_101,Ross to Yabulu South,354,361,0.03148299141559873,0.06567979049280619,0.017825696647098075,2,32.652359668178114,132
l_103,Alan Sherriff to Garbutt,355,66,0.0036732284862992033,0.007663086211458447,0.002079785108342876,1,3.8096626872188883,132
l_104,Alan Sherriff to Garbutt,355,66,0.003688933998383936,0.007695851037700352,0.0020886775827082906,1,3.8259515468953396,132
l_106,Ross to Townsville South,354,359,0.01673451554363303,0.03491153240158273,0.00947509700330288,1,17.356083263825113,132
l_107,Townsville South to Townsville Zinc,356,359,0.004751637511679931,0.009912862222814973,0.0026903812201978954,2,4.9281269049709,132
l_109,Mount Stuart Power Station to Townsville South,357,359,0.0022570213862058747,0.004708596137733491,0.0012779274378795103,2,2.340853609122093,132
l_110,Mount Stuart Tee to Townsville East,358,542,0.007989393330754501,0.016667465718285823,0.004523601332172514,1,8.286142225896812,132
l_112,Ross to Chalumbim,749,354,0.05439965525604084,0.12512055927570745,0.5262898046633463,2,244.87940052012428,275
l_114,Chalumbin to Turkinje,749,750,0.0973169250677976,0.20302248809464057,0.05510092614729837,2,100.93155371317295,132
l_116,Woree to Cairns City,148,153,0.00444908333048622,0.009281673941777624,0.0025190747842218637,1,4.614334997047138,132
l_117,Kidston to Georgetown,579,372,0.12664112933417224,0.25777627519458457,0.035441158507822354,1,91.21176577044548,110
l_118,Ross to Millchester,89,354,0.09054271583889019,0.1888901384384187,0.051265363092173756,1,93.9057309986204,132
l_122,Woree to Cairns,149,148,0.0011142991587146122,0.00232464997765188,0.0006309171360229053,1,1.155687413181155,132
l_123,Woree to Cairns,149,148,0.001170621489907186,0.0024421495781174777,0.0006628068880811794,1,1.2141017166751673,132
l_124,Cairns Tee to Cairns City,149,153,0.0032169137375266843,0.006711122762289283,0.0018214193075890915,1,3.336399104920533,132
l_125,Yalkula Tee to Yalkula,150,154,0.0004860686733607143,0.001014036061885475,0.0002752124982854243,2,0.5041226526569694,132
l_126,Turkinje to Yalkula Tee,150,746,0.046207836576491516,0.09639875021425351,0.02616291656208731,1,47.92412764933263,132
l_128,Turkinje to Yalkula Tee,150,750,0.046270189380840515,0.0965288305827998,0.026198220773200817,1,47.98879641498602,132
l_129,Yalkula Tee to Craiglie,150,155,0.03197270969444762,0.06670144035862409,0.018102975555130116,2,33.160267483098536,132
l_131,Chalumbin to Woree,749,148,0.029889268874076145,0.06874606135396635,0.28916391847025497,2,134.5461880120243,275
l_133,Turkinje to Woree,750,148,0.037000808571031676,0.07719105605084609,0.020949889436420115,1,38.37512431795571,132
l_134,Chalumbin to Kareeya Power Station,749,751,0.007117961345237622,0.014849485035258332,0.004030195797185589,2,7.382342766632163,132
l_136,Kareeya Power Station to Tully,747,751,0.04401421066726597,0.09182240966784214,0.02492088369745631,2,45.64902420633585,132
l_137,Woree to Innisfail,748,148,0.0714865881462503,0.14913526070349595,0.04047576730588963,1,74.14180427739674,132
l_138,Woree to Edmonton,151,148,0.0026381705215284858,0.0055037491466721515,0.0014937344040561198,1,2.7361597123281154,132
l_139,El Arish to Tully,801,747,0.022364264101104966,0.04665630915741321,0.012662665448123875,1,23.194936767717437,132
l_140,Innisfail to El Arish,748,801,0.0366995634650462,0.07656259876141883,0.020779324199945815,1,38.062690108033635,132
l_141,Ingham South to Cardwell,509,510,0.044936000133300756,0.09374544608482135,0.025442801680951525,1,46.605051566823356,132
l_142,Tully to Cardwell,747,510,0.010688761939037525,0.024584418145347706,0.10340849416255068,1,48.11533462141146,275
l_143,Invicta Mill Tee to Clare South,70,68,0.0318430048307596,0.06643085017993142,0.018029536550455028,1,33.02574501018782,132
l_144,South Townsville to Invicta Mill Tee,359,70,0.034551082443439275,0.07208043944199033,0.019562852409268482,1,35.83440836276702,132
l_145,Invicta Mill Tee to Invicta Mill,67,70,0.009547446525740461,0.019917874997139255,0.005405772382795769,1,9.902065968125108,132
l_146,Ross to Townsville South,359,354,0.019221824422597372,0.04010055411507634,0.01088341341640218,1,19.935777901150992,132
l_147,Townsville South to Clare South,359,68,0.06796118010180979,0.14178055737483505,0.03847967825806492,1,70.4854525055913,132
l_148,Barren Gorge Power Station to Kamerunga,152,156,0.00534224701177932,0.01114499127044954,0.003024784823930725,2,5.540673329359695,132
l_150,Woree to Kamerunga,152,148,0.013154321814798715,0.027442535223729116,0.007447988254150694,2,13.642910910776953,132
l_152,Pioneer Valley to Mackay,887,889,0.018767040958685376,0.039151785231108946,0.010625914630445167,1,19.464102480007977,132
l_153,Alligator Creek to Oonooie,888,890,0.0173292473889343,0.03615226148234707,0.009811834682412264,1,17.972905149094718,132
l_154,Collinsville Power Station to Proserpine Tee,822,328,0.08669413247238723,0.18086122702179988,0.049086291900788864,2,89.91420024993305,132
l_155,Proserpine Tee to Mackay,889,822,0.11024050877660885,0.22998365767366621,0.06241827028863389,2,114.33515624545433,132
l_156,Proserpine to Proserpine Tee,822,823,3.9659338606074793e-05,8.27372791976704e-05,2.24551514144289e-05,1,0.041132399754300435,132
l_159,Proserpine to Proserpine Tee,823,822,3.9659338606074793e-05,8.27372791976704e-05,2.24551514144289e-05,1,0.041132399754300435,132
l_160,Nebo to Pioneer Valley,887,840,0.06667596198182595,0.13909933640241268,0.037751986660091975,1,69.15249771257949,132
l_161,Nebo to Pioneer Valley,887,840,0.06669286910164286,0.13913460802170555,0.03776155948578233,1,69.17003281113246,132
l_162,Nebo to Alligator Creek,890,840,0.0740249813041827,0.15443085439726317,0.04191300768140086,1,76.77448060976663,132
l_163,Pioneer Valley to Alligator Creek,890,887,0.0357133129612492,0.07450508378110102,0.020220908321776677,1,37.03980744266703,132
l_164,Wagga 330 to Australian Newsprint Mills,4,444,0.10240838989534724,0.21364429778103733,0.0579837178841821,1,106.21213009146015,132
l_165,Albury to Australian Newsprint Mills,680,4,0.009645145465913944,0.020121694444829485,0.005461089606222404,1,10.003393726076462,132
l_166,Jindera to Australian Newsprint Mills,4,5,0.011165933605230287,0.023294361395554897,0.006322161150476176,1,11.580668281995985,132
l_167,Wodonga Terminal to Jindera,681,5,0.006578782861411121,0.015522143033202764,0.1286547267629766,1,42.64461033378994,330
l_169,Albury to Hume,734,680,0.012007616221183098,0.025050278968553618,0.006798722566990015,1,12.453613395112757,132
l_170,Albury to Jindera,680,5,0.01651634994151029,0.0344563955039797,0.009351571452921268,1,17.129814367909244,132
l_171,Bendigo Terminal to Kerang Terminal,679,553,0.042297579622720405,0.0942710924089018,0.17297119286192578,1,121.85731272259925,220
l_172,Shepparton Terminal Station to Fosterville Tee,75,213,0.03228663393563702,0.0719591115725185,0.1320325568308319,1,93.01625490981141,220
l_173,Bendigo Terminal to Ballarat Terminal,302,679,0.033385231429939516,0.07440762013564081,0.13652514767786356,1,96.18126197673051,220
l_174,Dederang Terminal to Shepparton Terminal,682,213,0.05264584464171338,0.11733487659179805,0.2152892583482325,1,151.6701714677933,220
l_175,Sydenham Terminal to South Morang Terminal,141,195,0.00290910468799469,0.007279422678825718,0.2827042542356549,1,43.29024833325431,500
l_176,Sydenham Terminal to South Morang Terminal,141,195,0.0029080994831350167,0.0072769073650652445,0.2826065693048304,1,43.27528992760441,500
l_177,Sydenham Terminal to Keilor Terminal,141,142,0.0008069790105518119,0.0020192952611810307,0.07842151583727848,1,12.008616228449581,500
l_178,Keilor Terminal to South Morang Terminal,142,195,0.0019661626836673333,0.0049199086195879605,0.19106997334472062,1,29.25837326885912,500
l_179,Keilor Terminal to Thomastown Terminal,142,194,0.005702816217460353,0.012710200428073854,0.02332102528336136,1,16.429541959826253,220
l_180,Keilor Terminal to Thomastown Terminal,142,194,0.005754996320006847,0.012826497277986848,0.023534409941812984,1,16.579870350495913,220
l_181,Geelong Terminal to Keilor Terminal,861,142,0.02324026382074217,0.05179693679388679,0.0950384440754222,1,66.95409338832863,220
l_182,Geelong Terminal to Keilor Terminal,861,142,0.023308535886486653,0.05194909874443224,0.09531763500682545,2,67.15078195868773,220
l_183,Hazelwood Terminal to Rowville Terminal,272,191,0.00920170444774636,0.02302533020458238,0.8942136061078706,1,136.9301257105113,500
l_184,Cranbourne Terminal to Rowville Terminal,493,191,0.0014264186497807978,0.003569312686327517,0.13861811927163148,1,21.226468002690442,500
l_185,Hazelwood Terminal to Cranbourne Terminal,493,272,0.007780609422060233,0.019469338767960385,0.756112831978793,1,115.78287830446774,500
l_186,Rowville Terminal Station to Thomastown Terminal Station,191,194,0.016425382789826037,0.03660821239992471,0.0671697548585932,1,47.32074565640358,220
l_187,Thomastown Terminal to Templestowe Terminal,192,194,0.00550673180826521,0.012273175623721908,0.022519160153899175,1,15.864632114287865,220
l_188,Ringwood Terminal to Thomastown Terminal,193,194,0.008874184021594959,0.01977841355026387,0.03628997709994259,1,25.56610158602357,220
l_189,Hazelwood Terminal to South Morang Terminal,272,195,0.010358314205443735,0.025919502880965884,1.0066119327617358,1,154.1415804381508,500
l_190,Eildon Power Station to Thomastown Terminal,194,198,0.034416244432622325,0.07670549918493,0.1407413593505146,1,99.1515613416024,220
l_191,Moorabool Terminal to Sydenham Terminal,862,141,0.004234076055289648,0.010594884875729387,0.4114638151481636,1,63.00708415609594,500
l_192,Moorabool Terminal to Sydenham Terminal,862,141,0.0042315870527570455,0.010588656670344324,0.4112219360546838,1,62.97004542793221,500
l_193,Anglesea Power Station to Point Henry,863,864,0.012884680049756125,0.02871684087987945,0.0526904493762907,1,37.12014966715455,220
l_194,Terang Terminal to Moorabool Terminal,617,862,0.046661305995961445,0.10399678489174062,0.19081616089165918,1,134.42900060741272,220
l_195,Terang Terminal to Ballarat Terminal,617,302,0.040071315429957656,0.08930928704522487,0.16386713592810734,1,115.44355159583037,220
l_196,Murray to Dederang Terminal,682,204,0.01751258529097337,0.04131962697266231,0.342476248720607,1,113.51907965398809,330
l_197,Murray to Dederang Terminal,682,204,0.017505047277092213,0.04130184159623106,0.3423288352648591,1,113.47021717115129,330
l_198,South Morang Terminal to Dederang Terminal,195,682,0.03479550104888558,0.08209736596731351,0.680461078337677,1,225.54940858474043,330
l_199,South Morang Terminal to Dederang Terminal,195,682,0.03482012098463534,0.08215545485278465,0.6809425459850417,1,225.70899852540404,330
l_200,Yallourn Power Station to Yallourn,273,276,0.00040903860768415725,0.000911648295901279,0.001672717364179986,1,1.1784207507091196,220
l_201,Yallourn Power Station to Yallourn,273,276,0.0003807218326073383,0.0008485370412195816,0.0015569190984936622,1,1.096841470130665,220
l_202,Hazelwood Power Station to Morwell Tee,274,277,0.0011801585329606972,0.002630288425726626,0.004826125537990373,1,3.399980535434389,220
l_203,Hazelwood Power Station to Hazelwood Terminal,272,274,0.001271083841607087,0.0028329389851715794,0.005197954357468657,1,3.6619320198680363,220
l_204,Hazelwood Power Station to Hazelwood Terminal,272,274,0.0013143606766420663,0.0029293926014573647,0.0053749301051605695,1,3.786610520802143,220
l_205,Hazelwood Terminal to South Morang Terminal,272,195,0.010348877828033386,0.025895890331025576,1.005694913841967,1,154.0011581552587,500
l_206,Loy Yang Power Station to Hazelwood Terminal,272,275,0.0009498510952198688,0.002376802606171312,0.09230570031295594,1,14.134688916962332,500
l_207,Loy Yang Power Station to Hazelwood Terminal,272,275,0.000969286138763783,0.0024254347153289425,0.09419438087979629,1,14.423900874461054,500
l_208,Loy Yang Power Station to Hazelwood Terminal,272,275,0.0009858338163327006,0.002466841798365239,0.09580246974155453,1,14.670146076379472,500
l_209,Loy Yang Power Station to Basslink,275,88,0.00022210997312717924,0.0005557834966365125,0.021584453309758365,1,3.305207933440167,500
l_210,Loy Yang B Power Station to Loy Yang Power Station,275,774,9.341430035292613e-05,0.0002337496410225334,0.009077920167398135,1,1.3900937552518768,500
l_211,Valley Power to Loy Yang Power Station,275,775,0.00013303083823808356,0.000332881695474848,0.012927820737989922,1,1.9796255690191005,500
l_212,Wodonga Terminal to Dederang Terminal,682,681,0.006348685478250544,0.01497924557508267,0.12415494061970049,1,41.153086225088344,330
l_213,Moorabool Terminal to Elaine Terminal,143,862,0.015032913580757994,0.03350473473866176,0.06147540869826056,1,43.309108173136124,220
l_214,Mount Beauty Terminal to Dederang Terminal,735,682,0.012922160806736391,0.028800376437619596,0.05284372271490892,1,37.22812994321674,220
l_215,Mount Beauty Terminal to Bogong Tee,735,737,0.0033668923634908392,0.007503990156424389,0.013768527503117285,1,9.699856571009322,220
l_216,Mount Beauty Terminal to West Kiewa Power Station,735,738,0.0009938629082336115,0.002215080458493733,0.004064290541249981,1,2.8632717118158806,220
l_217,Horsham Terminal to Waubra Terminal,303,364,0.048916808691785205,0.10902375581922873,0.2000397853940494,1,140.9269964691907,220
l_218,Mount Beauty Terminal to Dederang Terminal,735,682,0.012918553131052777,0.02879233579957872,0.052828969531109285,1,37.21773640136633,220
l_219,Mount Beauty Terminal to Dartmouth Power Station,735,739,0.014602965941951604,0.03254648526078538,0.059717186203832956,1,42.070449499432,220
l_220,Red Cliffs to Kerang,553,808,0.05933065232470692,0.13223369889889558,0.24262602724360582,1,170.9287840783223,220
l_221,Red Cliffs Terminal to Horsham Terminal,364,806,0.09629391590079263,0.21461588878769985,0.39378313480989713,1,277.41818628561686,220
l_222,Red Cliffs to Buronga,806,807,0.008323997982480038,0.01855218170914855,0.034040053195772746,1,23.981041806668678,220
l_223,Buronga to Balranald,446,807,0.0514105309421516,0.11458166061669726,0.21023758196207107,1,148.1112915238177,220
l_224,Buronga to Broken Hill,807,469,0.09028799190007426,0.20123013429482497,0.3692225843503077,1,260.1154052359282,220
l_225,Robertstown to MDR Pump MW3,472,473,0.005789476077994956,0.012078000176229139,0.0032780063034555367,1,6.0045137608919115,132
l_226,MDR Pump MW2 to MDR Pump MW3,473,474,0.021306105521716266,0.04444877960963394,0.012063535156097002,1,22.097475155380014,132
l_227,MDR Pump MW1 to MDR Pump MW2,474,754,0.024157960532988413,0.05039831716099282,0.013678257900875825,1,25.055256209927983,132
l_228,North West Bend to MDR Pump MW1,754,475,0.004934817206679883,0.010295011550091793,0.0027940977200651613,1,5.118110417213707,132
l_229,Monash to North West Bend,236,475,0.08318158536613005,0.17353335417167487,0.04709748472715542,1,86.2711871083006,132
l_230,Monash to North West Bend,475,236,0.08478260029397115,0.17687339018186032,0.04800398074763939,1,87.93166830489008,132
l_231,North West Bend to Robertstown,475,472,0.05812131997266841,0.12125264936161134,0.032908341043106255,1,60.28011185736752,132
l_232,Robertstown to Morgan-Whyalla 4 Pump Station,477,472,0.00695006097789426,0.01449921142862407,0.003935130465696275,1,7.208206099930332,132
l_233,Waterloo East to Morgan - Whyalla 4 Pump Station,126,477,0.0152633273640888,0.03184234084565954,0.008642108998663706,1,15.830250951897813,132
l_234,Monash to Berri,236,237,0.0035505923123594404,0.0074072427274364,0.0020103484018446542,1,3.6824714553899343,132
l_235,Tailem Bend to Mobilong,879,882,0.031280539886842776,0.06525743628198456,0.017711068418487092,1,32.44238851121123,132
l_236,Keith to Tailem Bend,627,879,0.11712575837154214,0.24434765964908958,0.06631670449390528,1,121.47614368248514,132
l_237,South East to Mount Gambier,651,657,0.013708089995993253,0.028597805942521703,0.0077615322716324065,1,14.21724762441586,132
l_238,Snuggery to Blanche,652,654,0.04186412559359698,0.08733690397633657,0.0237035036911305,1,43.419078829930584,132
l_239,Penola West to Kincraig,653,630,0.059169092030663055,0.12343851055710142,0.033501590477842756,1,61.36680116323054,132
l_240,Kincraig to Keith,630,627,0.10100092766046881,0.21070805123784667,0.057186811563877386,1,104.75239068785766,132
l_241,Snuggery to Keith,654,627,0.17451175933918484,0.36406628711430833,0.09880870728791047,1,180.99362468606884,132
l_242,Keith to Tailem Bend,627,879,0.11655182431079907,0.24315031888916377,0.06599174253818801,1,120.88089207091447,132
l_243,Cherry Gardens to Tailem Bend,879,13,0.027523519378069634,0.06330477870882151,0.2662764601899487,1,123.89679481943546,275
l_244,Mount Barker to Cherry Gardens,10,13,0.019335625513284722,0.040337965855769264,0.010947847691211798,1,20.05380588949244,132
l_245,Murray Bridge-Hahndorf Pump 3 to Mount Barker,880,10,0.018311019800019784,0.03820043426937654,0.010367715060660846,1,18.991143392591948,132
l_246,Mannum to Mannum-Adelaide Pumping Station 1,755,756,0.003970138524452348,0.008282499685981312,0.0022478958257054565,1,4.117600812503435,132
l_247,Mannum to Mobilong,756,882,0.016131176705810185,0.033652847420182146,0.009133486037671642,1,16.73033469774028,132
l_248,Millbrook to Millbrook Tee,127,795,0.0017828021270114545,0.003719280313821307,0.0010094240880223874,1,1.849020491729023,132
l_249,Mobilong to Murray Bridge-Hahndorf Pump 1,881,882,0.0039493439662506465,0.008239118095965012,0.0022361219290791563,1,4.096033884997099,132
