DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE,NTNDP_HEAT_RATE_ID,COMMENT
JLB03,JEERB,"Jeeralang ""B"" Power Station",VIC1,76,Natural Gas (Pipeline),SCHEDULED,JLB03,
JNDABNE1,JNDSHPS,Jindabyne Small Hydro Power Station,NSW1,1,Hydro,NON-SCHEDULED,,
JOUNAMA1,JOUNAMA,Jounama Small Hydro Power Station,NSW1,14,Hydro,NON-SCHEDULED,,
KAREEYA1,KAREEYA,KAREEYA POWER STATION,QLD1,21,Hydro,SCHEDULED,,
KAREEYA2,KAREEYA,KAREEYA POWER STATION,QLD1,21,Hydro,SCHEDULED,,
KAREEYA3,KAREEYA,KAREEYA POWER STATION,QLD1,21,Hydro,SCHEDULED,,
KAREEYA4,KAREEYA,KAREEYA POWER STATION,QLD1,21,Hydro,SCHEDULED,,
KAREEYA5,KAREEYA,KAREEYA POWER STATION,QLD1,7,Hydro,NON-SCHEDULED,,
KEEPIT,KEEPIT,Keepit Hydro Power Station,NSW1,6,Hydro,NON-SCHEDULED,,
KINCUM1,KINCUMB,Kincumber Landfill Site,NSW1,1,Landfill biogas methane,NON-SCHEDULED,,
KPP_1,KOGANCK,Kogan Creek Power Station,QLD1,744,Black coal,SCHEDULED,KPP_1,
L_W_CNL1,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,25,Hydro,NON-SCHEDULED,,
LADBROK1,LADBROKE,Ladbroke Grove Power Station,SA1,40,Natural Gas (Pipeline),SCHEDULED,LADBROK1,
LADBROK2,LADBROKE,Ladbroke Grove Power Station,SA1,40,Natural Gas (Pipeline),SCHEDULED,LADBROK2,
LD01,LIDDELL,Liddell Power Station,NSW1,500,Black coal,SCHEDULED,LD01,
LD02,LIDDELL,Liddell Power Station,NSW1,500,Black coal,SCHEDULED,LD02,
LD03,LIDDELL,Liddell Power Station,NSW1,500,Black coal,SCHEDULED,LD03,
LD04,LIDDELL,Liddell Power Station,NSW1,500,Black coal,SCHEDULED,LD04,
LEM_WIL,LEM_WIL,Lemonthyme / Wilmot Power Station,TAS1,82,Hydro,SCHEDULED,,
LI_WY_CA,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,170,Hydro,SCHEDULED,,
LIDDNL1,LIDDELL,Liddell Power Station,NSW1,25,Black coal,NON-SCHEDULED,,
LK_ECHO,LK_ECHO,Lake Echo Power Station,TAS1,32,Hydro,SCHEDULED,,
LKBONNY1,LKBONNY1,Lake Bonney Wind Farm Stage 1,SA1,81,Wind,NON-SCHEDULED,LKBONNY1,
LKBONNY2,LKBONNY_2,Lake Bonney Stage 2 Windfarm,SA1,159,Wind,SEMI-SCHEDULED,LKBONNY2,
LKBONNY3,LKBONNY3,Lake Bonney Stage 3 Wind Farm,SA1,39,Wind,SEMI-SCHEDULED,LKBONNY3,
LNGS1,LNGS,Laverton North Power Station,VIC1,156,Natural Gas (Pipeline),SCHEDULED,Laverton North1,
LNGS2,LNGS,Laverton North Power Station,VIC1,156,Natural Gas (Pipeline),SCHEDULED,Laverton North2,
LONGFORD,LONGFORD,LONGFORD PLANT,VIC1,44,Natural Gas (Pipeline),NON-SCHEDULED,,
LONSDALE,LONSDALE,Lonsdale Power Station,SA1,21,Diesel oil,SCHEDULED,Lonsdale,
LOYYB1,LOYYB,LOY YANG B POWER STATION,VIC1,500,Brown coal,SCHEDULED,LOYYB1,
LOYYB2,LOYYB,LOY YANG B POWER STATION,VIC1,500,Brown coal,SCHEDULED,LOYYB2,
LUCAS2S2,LUCAS2S2,Lucas Heights 2 Power Station,NSW1,5,Landfill biogas methane,NON-SCHEDULED,,
LUCASHGT,LUCAS2S2,Lucas Heights 2 Power Station,NSW1,13,Landfill biogas methane,NON-SCHEDULED,,
LYA1,LOYYANGA,LOY YANG A POWER STATION,VIC1,560,Brown coal,SCHEDULED,LYA1,
LYA2,LOYYANGA,LOY YANG A POWER STATION,VIC1,530,Brown coal,SCHEDULED,LYA2,
LYA3,LOYYANGA,LOY YANG A POWER STATION,VIC1,560,Brown coal,SCHEDULED,LYA3,
LYA4,LOYYANGA,LOY YANG A POWER STATION,VIC1,560,Brown coal,SCHEDULED,LYA4,
LYNL1,LOYYANGA,LOY YANG A POWER STATION,VIC1,25,Brown coal,NON-SCHEDULED,,
MACARTH1,MACARTH,Macarthur Wind Farm,VIC1,420,Wind,SEMI-SCHEDULED,MACARTH1,
MACKAYGT,MACKAY,MACKAY GAS TURBINE,QLD1,30,Diesel oil,SCHEDULED,MACKAYGT,
MACKNTSH,MACKNTSH,Mackintosh Power Station,TAS1,80,Hydro,SCHEDULED,,
MBAHNTH,MBAHNTH,Moranbah North Waste Coal Mine Gas Power Station,QLD1,63,Coal mine waste gas,NON-SCHEDULED,,
MCKAY1,MCKAY,Bogong / Mackay Power Station,VIC1,300,Hydro,SCHEDULED,,
MEADOWBK,MEADOWBK,Meadowbank Power Station,TAS1,40,Hydro,SCHEDULED,,
MERCER01,MTMERCER,Mt Mercer Wind Farm,VIC1,131,Wind,SEMI-SCHEDULED,MERCER1,
MIDLDPS1,MIDLDPS,Midlands Power Station,TAS1,6,,NON-SCHEDULED,,
MINTARO,MINTARO,Mintaro Gas Turbine Station,SA1,90,Natural Gas (Pipeline),SCHEDULED,MINTARO,
