DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE,GA_POWER_STATION_PLACEMARK_ID,GA_STATION_NAME,COMMENT
LYA3,LOYYANGA,LOY YANG A POWER STATION,VIC1,560,Brown coal,SCHEDULED,kml_36,Loy Yang A,
LYA4,LOYYANGA,LOY YANG A POWER STATION,VIC1,560,Brown coal,SCHEDULED,kml_36,Loy Yang A,
LYNL1,LOYYANGA,LOY YANG A POWER STATION,VIC1,25,Brown coal,NON-SCHEDULED,kml_36,Loy Yang A,
MACARTH1,MACARTH,Macarthur Wind Farm,VIC1,420,Wind,SEMI-SCHEDULED,kml_18,Macarthur Wind Farm,
MACKAYGT,MACKAY,MACKAY GAS TURBINE,QLD1,30,Diesel oil,SCHEDULED,kml_180,Mackay,
MACKNTSH,MACKNTSH,Mackintosh Power Station,TAS1,80,Hydro,SCHEDULED,kml_7,Mackintosh,
MBAHNTH,MBAHNTH,Moranbah North Waste Coal Mine Gas Power Station,QLD1,63,Coal mine waste gas,NON-SCHEDULED,kml_122,Moranbah North,
MCKAY1,MCKAY,Bogong / Mackay Power Station,VIC1,300,Hydro,SCHEDULED,kml_152,Bogong (Mount Beauty Hydro Scheme),
MEADOWBK,MEADOWBK,Meadowbank Power Station,TAS1,40,Hydro,SCHEDULED,kml_168,Meadowbank,
MERCER01,MTMERCER,Mt Mercer Wind Farm,VIC1,131,Wind,SEMI-SCHEDULED,kml_20,Mt Mercer Wind Farm,
MIDLDPS1,MIDLDPS,Midlands Power Station,TAS1,6,,NON-SCHEDULED,kml_14,Poatina,Midlands Power Station is close to Poatina Power Station
MINTARO,MINTARO,Mintaro Gas Turbine Station,SA1,90,Natural Gas (Pipeline),SCHEDULED,kml_53,Mintaro,
MINTNL1,MINTARO,Mintaro Gas Turbine Station,SA1,25,Natural Gas (Pipeline),NON-SCHEDULED,kml_53,Mintaro,
MLSP1,MLSP,Mugga Lane Solar Park,NSW1,12,Solar,NON-SCHEDULED,kml_105,Mugga Lane,
