C,SETP.WORLD,CO2EII_AVAILABLE_GENERATORS,AEMO,PUBLIC,2017/11/03,10:48:27,0000000288829320,,0000000288829319
D,CO2EII,PUBLISHING,1,"Taralga Wind Farm",TARALGA1,TARALGA1,NSW1,0,Wind,"Estimate - Other"
D,CO2EII,PUBLISHING,1,"TERALBA POWER STATION",TERALBA,TERALBA,NSW1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"The Drop Power Station",THEDROP1,THEDROP1,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Tower Power Plant",TOWER,TOWER,NSW1,0.6410,"Coal seam methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Tumut 3 Power Station",TUMT3NL1,TUMT3NL1,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Tumut 3 Power Station",TUMT3NL2,TUMT3NL2,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Tumut 3 Power Station",TUMT3NL3,TUMT3NL3,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Tumut 3 Power Station",TUMUT3,TUMUT3,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Tumut Power Station",UPPTUMUT,UPPTUMUT,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Uranquinty Power Station",URANQ11,URANQ11,NSW1,0.731520,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Uranquinty Power Station",URANQ12,URANQ12,NSW1,0.731520,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Uranquinty Power Station",URANQ13,URANQ13,NSW1,0.731520,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Uranquinty Power Station",URANQ14,URANQ14,NSW1,0.731520,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Vales Point ""B"" Power Station",VP5,VP5,NSW1,0.953720,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Vales Point ""B"" Power Station",VP6,VP6,NSW1,0.953720,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Vales Point ""B"" Power Station",VPNL1,VPNL1,NSW1,1.1270,"Black coal","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Woodlawn Bioreactor Energy Generation Station",WDLNGN01,WDLNGN01,NSW1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Western Suburbs League Club (Campbelltown) Plant",WESTCBT1,WESTCBT1,NSW1,0.7080,"Diesel oil","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"West Illawarra Leagues Club Plant",WESTILL1,WESTILL1,NSW1,0.7080,"Diesel oil","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"West Illawarra Leagues Club Plant",WESTILL1,WESTILL2,NSW1,0.90,"Diesel oil","NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Wilga Park Power Station",WILGAPK,WILGAPK1,NSW1,0.6410,"Coal seam methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Wilga Park B",WILGB01,WILGB01,NSW1,0.6410,"Coal seam methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Woodlawn Wind Farm",WOODLWN1,WOODLWN1,NSW1,0,Wind,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Woy Woy Landfill Site",WOYWOY1,WOYWOY1,NSW1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"White Rock Wind Farm",WRWF1,WRWF1,NSW1,0,Wind,"Estimate - Other"
D,CO2EII,PUBLISHING,1,"Wyangala A Power Station",WYANGALA,WYANGALA,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Wyangala B Power Station",WYANGALB,WYANGALB,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Barcaldine Power Station",BARCALDN,BARCALDN,QLD1,1.110240,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Barcaldine Solar Farm",BARCSF1,BARCSF1,QLD1,0,Solar,Estimated
D,CO2EII,PUBLISHING,1,"Barcaldine Solar Farm",BARCSF1,BARCSF2,QLD1,0,Solar,Estimated
D,CO2EII,PUBLISHING,1,"Barron Gorge Power Station",BARRON-1,BARRON-1,QLD1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Barron Gorge Power Station",BARRON-2,BARRON-2,QLD1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Browns Plains Landfill Gas PS",BPLANDF1,BPLANDF1,QLD1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Braemar Power Station",BRAEMAR1,BRAEMAR1,QLD1,0.669770,"Coal seam methane","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Braemar Power Station",BRAEMAR2,BRAEMAR2,QLD1,0.669770,"Coal seam methane","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Braemar Power Station",BRAEMAR3,BRAEMAR3,QLD1,0.669770,"Coal seam methane","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"BRAEMAR 2 POWER STATION",BRAEMAR5,BRAEMG5,QLD1,0.691370,"Coal seam methane","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"BRAEMAR 2 POWER STATION",BRAEMAR6,BRAEMG6,QLD1,0.691370,"Coal seam methane","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"BRAEMAR 2 POWER STATION",BRAEMAR7,BRAEMG7,QLD1,0.691370,"Coal seam methane","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Callide Power Station",CALLNL1,CALLNL1,QLD1,1.1780,"Black coal","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Callide Power Station",CALLNL4,CALLNL4,QLD1,1.3280,"Black coal","NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Callide Power Station",CALL_A_4,CALL_A_4,QLD1,1.3280,"Black coal","NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Callide Power Station",CALL_B_1,CALL_B_1,QLD1,1.015160,"Black coal","NTNDP 2016"
