C,SETP.WORLD,DVD_DUDETAILSUMMARY,AEMO,PUBLIC,2017/07/08,00:25:02,0000000285202742,,0000000285202674
I,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,DUID,START_DATE,END_DATE,DISPATCHTYPE,CONNECTIONPOINTID,REGIONID,STATIONID,PARTICIPANTID,LASTCHANGED,TRANSMISSIONLOSSFACTOR,STARTTYPE,DISTRIBUTIONLOSSFACTOR,MINIMUM_ENERGY_PRICE,MAXIMUM_ENERGY_PRICE,SCHEDULE_TYPE,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2005/07/01 00:00:00","2006/03/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOLARIS,"2016/06/21 13:42:04",1.0127,FAST,1,-1012.70,10127,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2006/03/01 00:00:00","2006/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",1.0127,FAST,1,-1012.70,10127,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2006/07/01 00:00:00","2006/07/27 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",1.0128,FAST,1,-1012.80,10128,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2006/07/27 00:00:00","2007/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",1.0128,FAST,1,-1012.80,10128,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2007/07/01 00:00:00","2008/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",1.0305,FAST,1,-1030.50,10305,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2008/07/01 00:00:00","2009/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",1,FAST,1.0460,-1046,10460,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2009/07/01 00:00:00","2010/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",0.9847,FAST,0.9875,-972.40,9723.92,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2010/07/01 00:00:00","2010/10/27 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",0.9943,FAST,0.9864,-980.78,12259.72,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2010/10/27 00:00:00","2011/01/18 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",0.9943,FAST,0.9864,-980.78,12259.72,SCHEDULED,4,4,,,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2011/01/18 00:00:00","2011/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",0.9943,FAST,0.9864,-980.78,12259.72,SCHEDULED,4,4,30,30,1
