C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2017/07/08,02:15:00,0000000285202929,,0000000285202674
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2017/06/01 03:30:00",1,QLD1,7,5111.89,10130,240,-11.36,6109.8,0,997.91,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,63,,,,,,,,40,,,,,,,,40,,,,,,"2017/06/01 03:25:04",5158.69,5137.45,,49.87,,,,33.5,,,,,,,,,,,,,,,,,,,56.08,5193.53,0
D,TRADING,REGIONSUM,4,"2017/06/01 03:30:00",1,SA1,7,1208.84,2798.07,0,-4.43,1135.94,0,-72.91,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,"2017/06/01 03:25:04",1218.57,1209.13,,0,,,,0,,,,,,,,,,,,,,,,,,,61.62,1270.75,583.07
D,TRADING,REGIONSUM,4,"2017/06/01 03:30:00",1,TAS1,7,1031.47,2241.77,0,-0.23,751.41,0,-280.06,0,,,4.57,,,,,,,,0,,,,,,,,0,,,,,,,,178.96,,,,,,,,140.98,,,,,,,,91.98,,,,,,"2017/06/01 03:25:04",1030.59,1031.47,,24.49,,,,48,,,,,,,,,,,,,,,,,,,109.89,1141.36,28.77
D,TRADING,REGIONSUM,4,"2017/06/01 03:30:00",1,VIC1,7,4347.12,8739.98,0,-9.4,4835.98,0,488.86,0,,,176.49,,,,,,,,72.58,,,,,,,,72.58,,,,,,,,57,,,,,,,,92,,,,,,,,109,,,,,,"2017/06/01 03:25:04",4362.36,4350.66,,0,,,,0,,,,,,,,,,,,,,,,,,,41.65,4392.31,53.98
D,TRADING,REGIONSUM,4,"2017/06/01 04:00:00",1,NSW1,8,7067.28,11123.48,0,-13.86,6024.51,0,-1042.77,0,,,18.67,,,,,,,,12,,,,,,,,12,,,,,,,,249.87,,,,,,,,163,,,,,,,,190.14,,,,,,"2017/06/01 03:55:03",7136.6,7090.58,,51.07,,,,53,,,,,,,,,,,,,,,,,,,6.54,7097.12,118.48
D,TRADING,REGIONSUM,4,"2017/06/01 04:00:00",1,QLD1,8,5136.84,10130,240,-10.94,6096.1,0,959.26,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,63,,,,,,,,64,,,,,,,,40,,,,,,"2017/06/01 03:55:03",5174.73,5159.53,,38.6,,,,29,,,,,,,,,,,,,,,,,,,56.53,5216.06,0
D,TRADING,REGIONSUM,4,"2017/06/01 04:00:00",1,SA1,8,1178.09,2773.22,0,-4.95,1113.61,0,-64.48,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,"2017/06/01 03:55:03",1190.9,1178.34,,0,,,,0,,,,,,,,,,,,,,,,,,,59.55,1237.89,557.22
D,TRADING,REGIONSUM,4,"2017/06/01 04:00:00",1,TAS1,8,1035.64,2242.46,0,0.05,766.97,0,-268.67,0,,,4.65,,,,,,,,0,,,,,,,,0,,,,,,,,167.57,,,,,,,,118.84,,,,,,,,98.7,,,,,,"2017/06/01 03:55:03",1034.76,1035.64,,30.34,,,,48,,,,,,,,,,,,,,,,,,,114.6,1150.24,29.46
D,TRADING,REGIONSUM,4,"2017/06/01 04:00:00",1,VIC1,8,4368.87,8738.8,0,-9.35,4834.8,0,465.93,0,,,173.21,,,,,,,,75.26,,,,,,,,75.26,,,,,,,,57,,,,,,,,92,,,,,,,,109,,,,,,"2017/06/01 03:55:03",4382.64,4371.9,,0,,,,0,,,,,,,,,,,,,,,,,,,38.65,4410.55,52.8
D,TRADING,REGIONSUM,4,"2017/06/01 04:30:00",1,NSW1,9,7038.55,10974.77,0,-0.51,6010.09,0,-1028.47,0,,,32,,,,,,,,12,,,,,,,,12,,,,,,,,289,,,,,,,,175.54,,,,,,,,212.18,,,,,,"2017/06/01 04:25:03",7046.46,7057.95,,63,,,,44,,,,,,,,,,,,,,,,,,,6.97,7064.92,110.77
