C,SETP.WORLD,DVD_TRADINGINTERCONNECT,AEMO,PUBLIC,2017/07/08,02:20:00,0000000285202926,,0000000285202674
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:30:00",1,NSW1-QLD1,23,-980.8,-960.38,60.29,"2017/06/01 11:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:30:00",1,T-V-MNSP1,23,191.02,197.12,3.29,"2017/06/01 11:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:30:00",1,V-S-MNSP1,23,-8.37,-7.5,-0.28,"2017/06/01 11:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:30:00",1,V-SA,23,117.35,96.92,1.69,"2017/06/01 11:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 11:30:00",1,VIC1-NSW1,23,-320.96,-311.77,19.88,"2017/06/01 11:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:00:00",1,N-Q-MNSP1,24,-118.4,-118.51,2.72,"2017/06/01 11:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:00:00",1,NSW1-QLD1,24,-921.64,-896.8,50.32,"2017/06/01 11:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:00:00",1,T-V-MNSP1,24,207.85,201.78,3.48,"2017/06/01 11:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:00:00",1,V-S-MNSP1,24,-0.44,0,0,"2017/06/01 11:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:00:00",1,V-SA,24,161.52,163.83,5.14,"2017/06/01 11:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:00:00",1,VIC1-NSW1,24,-359.58,-319.49,20.22,"2017/06/01 11:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:30:00",1,N-Q-MNSP1,25,-117.65,-116.48,2.42,"2017/06/01 12:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:30:00",1,NSW1-QLD1,25,-870.26,-859.9,45.12,"2017/06/01 12:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:30:00",1,T-V-MNSP1,25,135.48,132.57,1.33,"2017/06/01 12:25:04"
