C,SETP.WORLD,DVD_DUDETAIL,AEMO,PUBLIC,2017/07/08,00:25:02,0000000285202740,,0000000285202674
I,PARTICIPANT_REGISTRATION,DUDETAIL,3,EFFECTIVEDATE,DUID,VERSIONNO,CONNECTIONPOINTID,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,DISPATCHTYPE,MAXCAPACITY,STARTTYPE,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,AUTHORISEDBY,AUTHORISEDDATE,LASTCHANGED,INTERMITTENTFLAG,SEMISCHEDULE_FLAG,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LIDDNL1,2,NLDPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:53","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",GB01,2,NBKG1,275,25,Y,GENERATOR,30,"NOT DISPATCHED",,,Y,BATCH,"1998/11/02 12:11:53","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",BROWNMT,2,NBRM,132,4,Y,GENERATOR,6,"NOT DISPATCHED",,,Y,BATCH,"1998/11/02 12:11:53","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",ER01,2,NEPS1,330,660,Y,GENERATOR,696,SLOW,,,Y,BATCH,"1998/11/02 12:11:54","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",ER02,2,NEPS2,330,660,Y,GENERATOR,696,SLOW,,,Y,BATCH,"1998/11/02 12:11:54","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",ER03,2,NEPS3,500,660,Y,GENERATOR,696,SLOW,,,Y,BATCH,"1998/11/02 12:11:54","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",ER04,2,NEPS4,500,660,Y,GENERATOR,696,SLOW,,,Y,BATCH,"1998/11/02 12:11:54","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",ERNL1,2,NEPSL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:54","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",HUMENSW,2,NHUM,132,25,Y,GENERATOR,50,SLOW,,,Y,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",HUMEV,2,VHUM,66,25,N,GENERATOR,50,SLOW,,,N,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,
