DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17
LKBONNY2,LKBONNY_2,Lake Bonney Stage 2 Windfarm,SA1,SESA,658.0,Wind,Wind,0.0,SEMI-SCHEDULED,159.0,0.0,780.0,780.0,780.0,780.0,1.0,1.0,795.0,318.0,477.0,0.0,3.6,0.0,0.0,0.0
HUMEV,HUMEV,Hume (Vic) Hydro Power Station,NSW1,SWNSW,734.0,Hydro,Hydro,0.0,SCHEDULED,29.0,4.0600000000000005,180.0,180.0,180.0,180.0,1.0,1.0,145.0,58.0,87.0,7.0,0.0,0.0,0.0,7.0
LKBONNY3,LKBONNY3,Lake Bonney Stage 3 Wind Farm,SA1,SESA,655.0,Wind,Wind,0.0,SEMI-SCHEDULED,39.0,0.0,900.0,180.0,900.0,180.0,1.0,1.0,195.0,78.0,117.0,0.0,3.6,0.0,0.0,0.0
BDL01,DEIBDL,Bairnsdale Power Station,VIC1,LV,88.0,Natural Gas (Pipeline),Fossil,0.57086,SCHEDULED,47.0,0.0,240.0,240.0,240.0,240.0,1.0,1.0,4700.0,4700.0,4700.0,10.4,10.58823529,0.3,6.213779014,76.19295424029622
BDL02,DEIBDL,Bairnsdale Power Station,VIC1,LV,88.0,Natural Gas (Pipeline),Fossil,0.57086,SCHEDULED,47.0,0.0,240.0,240.0,240.0,240.0,1.0,1.0,4700.0,4700.0,4700.0,10.4,10.58823529,0.3,6.213779014,76.19295424029622
YARWUN_1,YARWUN,Yarwun Power Station,QLD1,CQ,703.0,Natural Gas (Pipeline),Fossil,0.62552,SCHEDULED,154.0,0.0,600.0,600.0,600.0,600.0,1.0,1.0,3850.0,770.0,2310.0,7.0,10.58823529,0.3,4.103447547,50.448268127809335
BARRON-2,BARRON,Barron Gorge Power Station,QLD1,NQ,156.0,Hydro,Hydro,0.0,SCHEDULED,30.0,0.0,180.0,180.0,180.0,180.0,1.0,1.0,150.0,60.0,90.0,7.0,0.0,0.0,0.0,7.0
BARRON-1,BARRON,Barron Gorge Power Station,QLD1,NQ,156.0,Hydro,Hydro,0.0,SCHEDULED,30.0,0.0,180.0,180.0,180.0,180.0,1.0,1.0,150.0,60.0,90.0,7.0,0.0,0.0,0.0,7.0
CALL_B_1,CALLIDE,Callide Power Station,QLD1,CQ,931.0,Black coal,Fossil,1.01516,SCHEDULED,350.0,171.5,180.0,180.0,190.0,190.0,8.0,8.0,122500.0,14000.0,42000.0,1.0,9.972299169,0.1,2.12,22.14127423828
CALL_B_2,CALLIDE,Callide Power Station,QLD1,CQ,931.0,Black coal,Fossil,1.01516,SCHEDULED,350.0,171.5,180.0,180.0,190.0,190.0,8.0,8.0,122500.0,14000.0,42000.0,1.0,9.972299169,0.1,2.12,22.14127423828
